,data,CO max,H2S max,NO max,NO2 max,NOx max,PM1 max,PM10 max,PM2.5 max,SO2 max,CO,H2S,NO,NO2,NOx,PM1,PM10,PM2.5,SO2,data_lectura,Pressió atmosfèrica màxima,Pressió atmosfèrica mínima,Humitat relativa màxima,Velocitat del vent a 10 m (esc.),Direcció de vent 10 m (m. 1),Temperatura,Humitat relativa,Pressió atmosfèrica,Precipitació,Irradiància solar global,Temperatura màxima,Temperatura mínima,Humitat relativa mínima,Ratxa màxima del vent a 10 m,Direcció de la ratxa màxima del vent a 10 m,Precipitació màxima en 1 minut
2273,2016-04-13,,1.4,26.0,78.0,115.0,,24.0,16.0,15.0,,1.0916666666666668,5.875,24.20833333333333,32.625,,12.291666666666666,5.958333333333333,4.375,2016-04-13,1011.3104166666668,1011.00625,62.29166666666666,2.3875,203.47916666666663,16.220833333333335,59.375,1011.1645833333332,0.0,277.5416666666667,16.797916666666666,15.679166666666664,56.25,4.958333333333333,216.25,0.0
2274,2016-04-14,,2.0,34.0,62.0,115.0,,34.0,11.0,10.0,,1.1041666666666667,7.333333333333333,28.95833333333333,39.708333333333336,,13.916666666666666,6.291666666666667,4.958333333333333,2016-04-14,1013.814583333333,1013.5875000000004,69.89583333333333,1.627083333333333,141.16666666666666,14.96458333333333,67.1875,1013.6937500000004,0.0,298.6041666666667,15.431250000000004,14.52708333333333,64.45833333333333,3.2374999999999994,131.14583333333334,0.0
2275,2016-04-15,,1.3,29.0,57.0,101.0,,29.0,19.0,12.0,,1.054166666666667,5.541666666666667,25.33333333333333,33.458333333333336,,18.625,12.583333333333334,4.875,2016-04-15,1010.9583333333331,1010.7020833333336,84.39583333333333,1.4562499999999998,119.04166666666669,14.702083333333333,82.60416666666667,1010.8270833333332,0.0,223.70833333333331,15.112500000000002,14.30625,80.79166666666667,2.985416666666666,112.22916666666669,0.0
2276,2016-04-16,,1.3,16.0,48.0,70.0,,35.0,28.0,7.0,,1.1416666666666668,4.875,23.791666666666668,30.375,,21.041666666666668,15.0,4.125,2016-04-16,1009.3520833333332,1009.0375000000004,79.33333333333333,1.5895833333333342,145.41666666666666,16.26875,77.02083333333333,1009.1958333333332,0.0,283.5,16.7,15.879166666666665,74.75,3.3562499999999997,165.125,0.0
2277,2016-04-17,,1.6,5.0,45.0,52.0,,26.0,9.0,6.0,,1.0416666666666667,1.9166666666666667,15.708333333333334,18.041666666666668,,8.458333333333334,3.333333333333333,3.7916666666666665,2016-04-17,1012.5729166666669,1012.2020833333332,63.8125,2.327083333333334,197.29166666666663,18.272916666666664,60.625,1012.3979166666668,0.0,281.0833333333333,18.852083333333333,17.799999999999994,57.29166666666666,4.810416666666666,194.4375,0.0
2278,2016-04-18,,1.1,27.0,60.0,102.0,,18.0,8.0,4.0,,1.0083333333333335,4.833333333333333,19.83333333333333,26.83333333333333,,10.833333333333334,5.541666666666667,2.625,2016-04-18,1019.760416666667,1019.4958333333328,73.27083333333333,2.0958333333333328,100.35416666666669,15.477083333333333,71.77083333333333,1019.625,0.0,308.9166666666667,15.829166666666664,15.139583333333334,70.1875,3.9625,112.52083333333331,0.0
2279,2016-04-19,,1.7,37.0,50.0,106.0,6.0,22.0,11.0,8.0,,1.090909090909091,5.818181818181818,23.13636363636364,31.5,2.9166666666666665,11.583333333333334,6.25,3.619047619047619,2016-04-19,1019.4229166666664,1019.0937500000005,67.25,1.8979166666666676,106.89583333333331,13.800000000000004,65.47916666666667,1019.2541666666664,0.0,237.33333333333331,14.197916666666666,13.410416666666665,63.79166666666666,3.695833333333333,104.64583333333331,0.0
2280,2016-04-20,,2.7,17.0,87.0,112.0,5.0,49.0,11.0,14.0,,1.4625,3.083333333333333,25.791666666666668,30.08333333333333,2.619047619047619,15.047619047619047,5.0,5.0,2016-04-20,1016.9979166666668,1016.4645833333334,57.5625,3.412499999999999,62.75,16.522916666666664,55.375,1016.73125,0.0020833333333333,207.1875,16.864583333333332,16.195833333333333,53.333333333333336,7.181250000000001,64.41666666666667,0.0020833333333333
2281,2016-04-21,,1.5,7.0,50.0,58.0,,,,5.0,,1.0833333333333337,2.708333333333333,19.20833333333333,23.125,,,,3.25,2016-04-21,1019.1791666666668,1018.8999999999996,84.0625,2.01875,114.70833333333331,15.26041666666667,81.77083333333333,1019.0520833333331,0.1104166666666666,258.5833333333333,15.641666666666664,14.883333333333333,79.5625,3.99375,127.6875,0.01875
2282,2016-04-22,,1.3,27.0,60.0,94.0,,14.0,12.0,7.0,,1.1043478260869564,6.3478260869565215,33.04347826086956,42.47826086956522,,9.25,7.625,4.260869565217392,2016-04-22,1018.2333333333332,1017.975,85.125,1.6625000000000003,152.52083333333334,15.1125,82.91666666666667,1018.1041666666669,0.0,128.83333333333334,15.485416666666666,14.741666666666667,80.58333333333333,3.414583333333334,167.77083333333334,0.0
2283,2016-04-23,,1.3,12.0,41.0,54.0,,11.0,7.0,8.0,,1.0708333333333333,3.458333333333333,19.541666666666668,24.625,,5.666666666666667,3.875,4.916666666666667,2016-04-23,1012.8895833333332,1012.5541666666668,75.97916666666667,2.3458333333333328,153.9375,15.447916666666664,72.625,1012.7291666666664,0.0333333333333333,285.4375,16.04375,14.9,68.95833333333333,4.816666666666666,148.64583333333334,0.0083333333333333
2284,2016-04-24,,1.1,7.0,37.0,48.0,,11.0,9.0,6.0,,1.0041666666666669,1.375,7.791666666666667,9.791666666666666,,4.708333333333333,2.833333333333333,4.416666666666667,2016-04-24,1011.875,1011.5020833333332,46.645833333333336,5.641666666666666,284.3125,16.912499999999998,45.1875,1011.6979166666666,0.0,322.125,17.274999999999995,16.574999999999996,43.85416666666666,10.285416666666668,284.1041666666667,0.0
2285,2016-04-25,,1.3,3.0,19.0,21.0,,12.0,7.0,5.0,,1.0541666666666667,1.75,7.916666666666667,10.541666666666666,,7.0,4.0,4.375,2016-04-25,1015.9,1015.6520833333334,53.625,3.502083333333335,251.0,13.808333333333335,52.208333333333336,1015.7770833333332,0.0,309.9583333333333,14.195833333333328,13.456250000000004,50.66666666666666,6.789583333333332,246.8125,0.0
2286,2016-04-26,,2.8,39.0,60.0,121.0,,23.0,10.0,8.0,,1.2625,6.416666666666667,22.916666666666668,32.333333333333336,,11.458333333333334,6.583333333333333,5.5,2016-04-26,1011.6312499999998,1011.379166666667,72.25,2.047916666666666,168.08333333333334,14.685416666666669,69.9375,1011.5166666666668,0.0,321.5833333333333,15.225,14.241666666666672,66.89583333333333,4.308333333333335,161.02083333333334,0.0
2287,2016-04-27,,1.8,6.0,48.0,56.0,,22.0,12.0,6.0,,1.3333333333333333,2.458333333333333,18.875,22.541666666666668,,12.708333333333334,7.458333333333333,5.208333333333333,2016-04-27,1012.1916666666666,1011.9291666666668,82.35416666666667,2.537500000000001,112.4375,14.749999999999991,80.72916666666667,1012.0625000000005,0.1354166666666666,113.70833333333331,14.929166666666667,14.554166666666664,79.1875,5.397916666666666,108.35416666666669,0.0229166666666666
2288,2016-04-28,,1.4,6.0,55.0,60.0,,15.0,11.0,6.0,,1.220833333333333,3.0,25.83333333333333,30.041666666666668,,7.666666666666667,6.291666666666667,4.416666666666667,2016-04-28,1014.5333333333334,1014.270833333333,92.14583333333331,1.210416666666667,138.91666666666666,11.68541666666667,90.0625,1014.4020833333338,0.075,54.91666666666666,11.885416666666666,11.468749999999998,87.95833333333333,2.6979166666666674,147.6875,0.0249999999999999
2289,2016-04-29,,1.6,36.0,50.0,96.0,,17.0,12.0,11.0,,1.2375000000000005,7.5,23.125,34.416666666666664,,9.291666666666666,6.625,5.666666666666667,2016-04-29,1018.1979166666669,1017.9854166666668,74.66666666666667,1.725,195.0625,13.733333333333336,72.5,1018.0916666666664,0.0,285.8958333333333,14.06666666666667,13.40625,70.3125,3.5145833333333343,180.33333333333331,0.0
2290,2016-04-30,,1.9,5.0,31.0,38.0,,10.0,8.0,5.0,,1.1875000000000002,1.5833333333333333,9.208333333333334,11.541666666666666,,5.958333333333333,4.208333333333333,4.291666666666667,2016-04-30,1017.4854166666668,1017.0833333333331,65.25,3.6020833333333333,243.39583333333331,15.924999999999995,62.8125,1017.2812500000005,0.0291666666666666,274.5,16.264583333333334,15.641666666666673,59.4375,7.216666666666668,243.89583333333331,0.0104166666666666
2291,2016-05-01,,1.4,5.0,10.0,18.0,,8.0,3.0,5.0,,1.2333333333333334,1.875,5.041666666666667,7.666666666666667,,3.875,1.6666666666666667,4.041666666666667,2016-05-01,1020.7125,1020.3125,30.77083333333333,5.639583333333332,302.2083333333333,15.158333333333331,29.27083333333333,1020.5145833333336,0.0,342.4583333333333,15.5,14.802083333333334,27.83333333333333,10.583333333333334,299.9583333333333,0.0
2292,2016-05-02,,1.4,5.0,44.0,47.0,,14.0,6.0,6.0,,1.2416666666666665,2.0416666666666665,11.125,14.166666666666666,,5.958333333333333,2.583333333333333,4.458333333333333,2016-05-02,1019.56875,1019.2291666666664,47.97916666666666,4.081249999999999,264.7708333333333,15.69375,46.145833333333336,1019.3937499999998,0.0,340.8125,16.164583333333336,15.249999999999996,44.145833333333336,7.610416666666667,249.0,0.0
2293,2016-05-03,,2.4,46.0,66.0,137.0,,24.0,8.0,13.0,,1.3916666666666668,6.791666666666667,30.375,40.625,,10.166666666666666,4.833333333333333,6.833333333333333,2016-05-03,1020.9770833333328,1020.775,65.14583333333333,1.7708333333333337,156.875,15.429166666666664,62.85416666666666,1020.8770833333332,0.0,340.9375,15.922916666666666,14.987500000000002,60.60416666666666,3.479166666666666,143.04166666666666,0.0
2294,2016-05-04,,2.7,34.0,71.0,123.0,,25.0,9.0,24.0,,1.4125000000000003,5.625,27.95833333333333,36.29166666666666,,9.833333333333334,5.583333333333333,7.5,2016-05-04,1019.935416666667,1019.7104166666668,71.60416666666667,1.6437499999999992,142.33333333333334,15.429166666666664,69.08333333333333,1019.8229166666666,0.0,342.1875,15.854166666666664,15.0375,66.1875,3.1020833333333333,144.25,0.0
2295,2016-05-05,,1.9,30.0,64.0,110.0,,19.0,12.0,13.0,,1.304166666666667,5.25,25.58333333333333,33.5,,11.916666666666666,8.0,7.125,2016-05-05,1015.2520833333338,1014.9854166666664,76.91666666666667,2.529166666666667,88.08333333333333,15.6625,74.95833333333333,1015.1124999999996,0.0,312.8125,16.07083333333333,15.295833333333333,72.625,5.0354166666666655,96.375,0.0
2296,2016-05-06,,1.7,4.0,44.0,51.0,,19.0,9.0,7.0,,1.1875,2.083333333333333,19.75,22.791666666666668,,11.833333333333334,8.041666666666666,5.875,2016-05-06,1012.8333333333336,1012.5479166666664,76.47916666666667,2.8583333333333325,64.58333333333333,16.36458333333334,74.45833333333333,1012.6833333333332,0.00625,156.33333333333334,16.7,16.07083333333333,72.41666666666667,5.766666666666665,63.770833333333336,0.00625
2297,2016-05-07,,1.8,3.0,31.0,34.0,,18.0,13.0,9.0,,1.2541666666666669,1.5416666666666667,16.708333333333332,18.916666666666668,,11.375,8.291666666666666,6.958333333333333,2016-05-07,1008.9208333333328,1008.6770833333336,78.77083333333333,2.116666666666667,88.02083333333333,16.19375,76.35416666666667,1008.7916666666669,0.00625,112.0625,16.445833333333333,15.968749999999996,74.10416666666667,4.3375,86.10416666666667,0.0041666666666666
2298,2016-05-08,,1.5,3.0,29.0,31.0,,18.0,14.0,8.0,,1.125,1.4166666666666667,15.083333333333334,17.208333333333332,,10.375,7.958333333333333,7.333333333333333,2016-05-08,1006.5291666666668,1006.2374999999996,86.02083333333333,2.1791666666666667,71.97916666666667,15.960416666666667,84.75,1006.391666666666,0.0020833333333333,101.66666666666669,16.150000000000002,15.793749999999998,83.27083333333333,4.385416666666667,72.02083333333333,0.0020833333333333
2299,2016-05-09,,3.7,9.0,52.0,64.0,,24.0,19.0,9.0,,1.8043478260869563,3.3157894736842106,26.68421052631579,31.789473684210527,,14.25,10.5,6.136363636363637,2016-05-09,1006.3937500000002,1005.8479166666668,88.95833333333333,2.041666666666667,108.95833333333331,16.66666666666666,87.6875,1006.1208333333336,0.1895833333333333,99.29166666666669,16.9625,16.410416666666666,86.14583333333333,4.318750000000002,92.0,0.0249999999999999
2300,2016-05-10,,4.3,28.0,67.0,93.0,,14.0,7.0,15.0,,2.8541666666666674,9.772727272727272,38.22727272727273,52.95454545454545,,6.375,4.166666666666667,6.0,2016-05-10,1008.7583333333332,1008.1791666666664,91.20833333333331,1.3416666666666668,155.4375,14.216666666666669,89.52083333333333,1008.4625000000002,0.1854166666666666,115.77083333333331,14.552083333333334,13.902083333333335,87.64583333333333,2.945833333333333,126.72916666666669,0.0333333333333333
2301,2016-05-11,,4.7,80.0,49.0,171.0,,10.0,7.0,3.0,,3.0708333333333324,11.833333333333334,20.791666666666668,38.833333333333336,,5.833333333333333,4.375,1.875,2016-05-11,1004.5729166666669,1004.2208333333336,85.22916666666667,2.129166666666667,166.97916666666666,15.456250000000002,82.54166666666667,1004.4104166666668,0.0041666666666666,292.5208333333333,15.839583333333335,15.047916666666673,80.29166666666667,4.483333333333334,176.0625,0.0041666666666666
2302,2016-05-12,,6.5,39.0,46.0,104.0,,13.0,7.0,4.0,,4.104166666666667,6.083333333333333,20.125,28.916666666666668,,6.375,4.0,2.1666666666666665,2016-05-12,1004.3895833333336,1004.125,74.6875,2.122916666666667,187.52083333333331,16.475000000000005,71.77083333333333,1004.25625,0.0,269.9166666666667,16.97083333333333,15.914583333333333,69.10416666666667,4.283333333333333,164.58333333333334,0.0
2303,2016-05-13,,5.6,12.0,38.0,56.0,,11.0,6.0,8.0,,4.249999999999999,3.5,18.166666666666668,23.33333333333333,,5.458333333333333,2.6666666666666665,2.625,2016-05-13,1006.5229166666672,1006.2666666666664,56.6875,3.7041666666666657,256.8958333333333,18.53333333333333,54.1875,1006.40625,0.0,330.7083333333333,18.95833333333333,18.05625,51.79166666666666,7.170833333333334,248.91666666666663,0.0
2304,2016-05-14,,4.8,3.0,29.0,31.0,,17.0,9.0,1.0,,3.15,1.4166666666666667,5.666666666666667,7.708333333333333,,5.25,2.6666666666666665,1.0,2016-05-14,1011.2479166666668,1010.9145833333332,51.4375,5.141666666666668,262.5208333333333,20.58541666666667,49.875,1011.0874999999996,0.0,357.8333333333333,20.962499999999995,20.20833333333333,48.1875,9.281250000000002,267.1875,0.0
2305,2016-05-15,,4.4,5.0,22.0,25.0,,23.0,10.0,2.0,,3.2791666666666663,1.8333333333333333,10.083333333333334,12.708333333333334,,8.291666666666666,4.875,1.0416666666666667,2016-05-15,1017.1395833333332,1016.8666666666664,65.14583333333333,2.5291666666666672,200.375,18.80208333333333,62.645833333333336,1017.0020833333332,0.0,298.8958333333333,19.222916666666663,18.38958333333333,60.0,5.2125,197.47916666666663,0.0
