CODI_ESTACIO;NOM_ESTACIO;LATITUD;LONGITUD;Georeferència;EMPLACAMENT;ALTITUD;NOM_MUNICIPI;NOM_COMARCA;CODI_ESTAT;NOM_ESTAT;DATA_ALTA
UY;Os de Balaguer - el Monestir d'Avellanes;4.187.912;0.76103;POINT (0.76103 41.87912);Quatre Vents - Monestir de les Avellanes;576;Os de Balaguer;Noguera;2;Operativa;07/07/1995 0:00
X6;Baldomar;4.192.173;102.901;POINT (1.02901 41.92173);Baldomar;366;Artesa de Segre;Noguera;2;Operativa;10/24/2006 12:00:00 AM
WA;Oliola;4.187.694;11.541;POINT (1.1541 41.87694);Partida l'Era;443;Oliola;Noguera;2;Operativa;03/26/2001 12:00:00 AM
CQ;Vilanova de Meià;4.199.546;102.569;POINT (1.02569 41.99546);Camp de fútbol;594;Vilanova de Meià;Noguera;2;Operativa;04/01/1996 0:00
UW;els Alfacs;4.062.725;0.65922;POINT (0.65922 40.62725);IRTA Centre d'Aqüicultura, crta. Poble Nou del Delta, km 5,5;0;Sant Carles de la Ràpita;Montsià;2;Operativa;07/06/1994 0:00
DL;Illa de Buda;4.070.719;0.83449;POINT (0.83449 40.70719);Mas de Buda;0.5;Sant Jaume d'Enveja;Montsià;2;Operativa;07/14/1999 12:00:00 AM
UT;les Cases d'Alcanar;4.055.219;0.53252;POINT (0.53252 40.55219);Port de les Cases d'Alcanar;3;Alcanar;Montsià;1;Desmantellada;08/31/1993 12:00:00 AM
UU;Amposta;4.070.776;0.6321;POINT (0.6321 40.70776);IRTA - Estació Exp. Ebre, ctra. de Balada, s/n;3;Amposta;Montsià;2;Operativa;02/06/1992 0:00
US;Alcanar;4.055.786;0.52329;POINT (0.52329 40.55786);El Mas d'en Serra - Barranc de St. Jaume;24;Alcanar;Montsià;2;Operativa;05/06/1991 0:00
UV;Mas de Barberans - Mitanplana;4.071.727;0.41633;POINT (0.41633 40.71727);Finca del Sifonero;205;Mas de Barberans;Montsià;1;Desmantellada;11/17/1992 12:00:00 AM
UX;Ulldecona - els Valentins;4.062.652;0.37112;POINT (0.37112 40.62652);Comunitat de regants del Pou Valentins;210;Ulldecona;Montsià;2;Operativa;11/15/1990 12:00:00 AM
C9;Mas de Barberans;4.071.825;0.39988;POINT (0.39988 40.71825);Abocador comarcal;240;Mas de Barberans;Montsià;2;Operativa;04/11/1997 0:00
UQ;Dosrius - PN Montnegre Corredor;4.161.991;244.532;POINT (2.44532 41.61991);Parc Natural del Corredor. Masia Can Bosc;460;Dosrius;Maresme;2;Operativa;08/09/1996 0:00
DD;Vilassar de Mar;4.151.175;238.674;POINT (2.38674 41.51175);"Soc.Civil d'Aigües ""La Mina Vella";44.5;Vilassar de Mar;Maresme;1;Desmantellada;05/04/1998 0:00
UP;Cabrils;4.151.773;237.702;POINT (2.37702 41.51773);IRTA Cabrils, crta. de Vilassar a Cabrils, s/n;81;Cabrils;Maresme;2;Operativa;11/27/1995 12:00:00 AM
UR;Malgrat de Mar - Cooperativa;4.164.908;275.209;POINT (2.75209 41.64908);Cooperativa Garbí, camí del Pla, s/n. Apt. correus 80;2;Malgrat de Mar;Maresme;1;Desmantellada;01/09/1990 0:00
WT;Malgrat de Mar;4.164.707;275.658;POINT (2.75658 41.64707);Camí de la Pomereda;2;Malgrat de Mar;Maresme;2;Operativa;05/04/2005 0:00
UO;Fornells de la Selva;4.191.461;282.069;POINT (2.82069 41.91461);La Torre de Reset;97;Fornells de la Selva;Gironès;2;Operativa;11/10/1998 0:00
UN;Cassà de la Selva;4.187.449;292.694;POINT (2.92694 41.87449);Finca Mas Bassets;171;Cassà de la Selva;Gironès;2;Operativa;03/08/1993 0:00
DM;Girona - Bombers;4.196.012;280.696;POINT (2.80696 41.96012);Parc de Bombers;90;Girona;Gironès;1;Desmantellada;05/10/2001 0:00
WF;Vilablareix;4.195.425;277.578;POINT (2.77578 41.95425);Mas Saüch;108;Vilablareix;Gironès;1;Desmantellada;04/11/2001 0:00
XJ;Girona;4.198.223;280.686;POINT (2.80686 41.98223);Horts de Santa Eugènia;72;Girona;Gironès;2;Operativa;09/15/2010 12:00:00 AM
DC;Olot - Pla de Baix;4.219.144;248.263;POINT (2.48263 42.19144);Heliport Mossos d'Esquadra;421.5;Olot;Garrotxa;1;Desmantellada;04/24/1998 12:00:00 AM
W9;la Vall d'en Bas;4.214.557;245.451;POINT (2.45451 42.14557);Escola Verntallat;461;La Vall d'en Bas;Garrotxa;2;Operativa;03/16/2000 12:00:00 AM
YB;Olot;4.218.813;247.097;POINT (2.47097 42.18813);Pla de Dalt;433;Olot;Garrotxa;2;Operativa;07/21/2016 12:00:00 AM
UL;Castelldans;4.152.911;0.75303;POINT (0.75303 41.52911);Mas de St. Jaume, crta. de Castelldans a Puigvert;228;Castelldans;Garrigues;1;Desmantellada;09/16/1997 12:00:00 AM
YD;les Borges Blanques;4.151.135;0.85617;POINT (0.85617 41.51135);Escola Agrària de les Borges Blanques;283;Les Borges Blanques;Garrigues;2;Operativa;01/25/2017 12:00:00 AM
UM;la Granadella;4.135.991;0.66789;POINT (0.66789 41.35991);Horts de la Vall Major;505;La Granadella;Garrigues;2;Operativa;01/30/1992 12:00:00 AM
XU;Canyelles;4.128.801;172.195;POINT (1.72195 41.28801);Cementiri;148;Canyelles;Garraf;2;Operativa;07/16/2013 12:00:00 AM
UK;Sant Pere de Ribes - PN del Garraf;4.127.861;180.479;POINT (1.80479 41.27861);Granja escola Can Pere;161;Sant Pere de Ribes;Garraf;2;Operativa;05/11/1999 0:00
CW;l'Espluga de Francolí;4.139.241;109.894;POINT (1.09894 41.39241);Urb. Espluga Parc;446;L'Espluga de Francolí;Conca de Barberà;2;Operativa;02/23/1996 12:00:00 AM
UJ;Santa Coloma de Queralt;4.152.879;13.683;POINT (1.3683 41.52879);Partida la Cabana;709;Santa Coloma de Queralt;Conca de Barberà;2;Operativa;11/19/1996 12:00:00 AM
W8;Blancafort;4.144.237;115.998;POINT (1.15998 41.44237);Cooperativa vinícola, pl.del Sindicat;438;Blancafort;Conca de Barberà;2;Operativa;01/18/2000 12:00:00 AM
Z3;Malniu (2.230 m);4.246.605;17.785;POINT (1.7785 42.46605);Estany de Malniu;2230;Meranges;Cerdanya;2;Operativa;11/03/1999 0:00
YA;Puigcerdà;4.244.013;193.482;POINT (1.93482 42.44013);Poliesportiu municipal;1213;Puigcerdà;Cerdanya;2;Operativa;03/22/2016 12:00:00 AM
DP;Das - Aeròdrom;4.238.605;18.664;POINT (1.8664 42.38605);Aeròdrom de la Cerdanya;1097;Das;Cerdanya;2;Operativa;05/22/2001 12:00:00 AM
Z9;Cadí Nord (2.143 m) - Prat d'Aguiló;4.229.265;171.498;POINT (1.71498 42.29265);Cadí Nord - Prat d'Aguiló;2143;Montellà i Martinet;Cerdanya;2;Operativa;11/06/2003 0:00
ZD;la Tosa d'Alp 2500;4.232.211;189.716;POINT (1.89716 42.32211);Tosa d'Alp;2478;Alp;Cerdanya;2;Operativa;09/04/2014 0:00
MS;Castellar de n'Hug - el Clot del Moro;4.225.978;197.747;POINT (1.97747 42.25978);Aforament Castellar de n'Hug;938;Castellar de n'Hug;Berguedà;1;Desmantellada;01/26/2010 12:00:00 AM
WM;Santuari de Queralt;4.210.736;18.267;POINT (1.8267 42.10736);Santuari de la Mare de Déu de Queralt;1167;Berga;Berguedà;2;Operativa;01/23/2002 12:00:00 AM
WV;Guardiola de Berguedà;4.223.414;187.485;POINT (1.87485 42.23414);Monestir de Sant Llorenç prop Bagà;788;Guardiola de Berguedà;Berguedà;2;Operativa;11/28/2005 12:00:00 AM
UI;Gisclareny;4.226.477;176.218;POINT (1.76218 42.26477);Coll de la Bena - Font del Cabrer;1386;Gisclareny;Berguedà;2;Operativa;03/12/1999 0:00
CN;Guardiola de Berguedà - Escola;4.222.903;187.672;POINT (1.87672 42.22903);Centre d'Assistència Primària;719.8;Guardiola de Berguedà;Berguedà;1;Desmantellada;02/20/1996 12:00:00 AM
CR;la Quar;4.208.032;19.624;POINT (1.9624 42.08032);Sant Maurici;873;La Quar;Berguedà;2;Operativa;03/13/1996 12:00:00 AM
X8;Barcelona - Zona Universitària;4.137.919;21.054;POINT (2.1054 41.37919);Pistes UB;79;Barcelona;Barcelonès;2;Operativa;04/17/2008 12:00:00 AM
AN;Barcelona - Av. Lluís Companys;4.139.004;218.091;POINT (2.18091 41.39004);Av. Lluís Companys (Ciutadella);7.5;Barcelona;Barcelonès;1;Desmantellada;05/11/1992 0:00
WU;Badalona - Museu;4.145.215;224.757;POINT (2.24757 41.45215);Museu;42;Badalona;Barcelonès;2;Operativa;09/21/2005 12:00:00 AM
DH;Badalona - Mas Ram;4.147.638;225.213;POINT (2.25213 41.47638);Urb. Mas Ram - Escola Pere Vergès;126;Badalona;Barcelonès;1;Desmantellada;03/23/1998 12:00:00 AM
D5;Barcelona - Observatori Fabra;4.141.843;212.388;POINT (2.12388 41.41843);Observatori Fabra;411.2;Barcelona;Barcelonès;2;Operativa;11/03/1995 0:00
X2;Barcelona - Zoo;4.138.943;218.847;POINT (2.18847 41.38943);Zoo;7;Barcelona;Barcelonès;2;Operativa;09/22/2006 12:00:00 AM
X4;Barcelona - el Raval;413.839;216.775;POINT (2.16775 41.3839);Facultat de Geografia i Història. c. Montalegre nº6, 6a;33;Barcelona;Barcelonès;2;Operativa;10/11/2006 0:00
UH;el Montmell;4.134.171;148.769;POINT (1.48769 41.34171);Finca Vallflor - Aigua Viva;545;El Montmell;Baix Penedès;2;Operativa;07/13/1995 12:00:00 AM
WO;la Bisbal del Penedès;4.127.151;146.717;POINT (1.46717 41.27151);Fondo de Cal Sumoi;185;La Bisbal del Penedès;Baix Penedès;2;Operativa;05/16/2002 12:00:00 AM
WZ;Cunit;4.120.187;163.346;POINT (1.63346 41.20187);-;17;Cunit;Baix Penedès;2;Operativa;06/27/2006 12:00:00 AM
D9;el Vendrell;4.121.553;152.121;POINT (1.52121 41.21553);Instal·lacions esportives municipals;59;El Vendrell;Baix Penedès;2;Operativa;06/11/1999 0:00
Y9;Port de Barcelona - ZAL Prat;4.131.723;213.091;POINT (2.13091 41.31723);Port de Barcelona;4;El Prat de Llobregat;Baix Llobregat;2;Operativa;06/26/2015 12:00:00 AM
XL;el Prat de Llobregat;4.134.045;208.022;POINT (2.08022 41.34045);Camí de la Ribera s/n;8;El Prat de Llobregat;Baix Llobregat;2;Operativa;03/22/2011 12:00:00 AM
Y7;Port de Barcelona - Bocana Sud;4.131.725;216.537;POINT (2.16537 41.31725);Port de Barcelona;3;El Prat de Llobregat;Baix Llobregat;2;Operativa;04/08/2015 0:00
D3;Vallirana;4.138.197;193.564;POINT (1.93564 41.38197);C. Arquitecte Baldric;252;Vallirana;Baix Llobregat;2;Operativa;10/28/1995 12:00:00 AM
UF;PN del Garraf - el Rascler;4.128.832;190.775;POINT (1.90775 41.28832);El Rascler - Centre de Repetidors Aeroport. Parc Natural del Garraf;573;Begues;Baix Llobregat;2;Operativa;02/29/1996 12:00:00 AM
UG;Viladecans;4.129.928;203.787;POINT (2.03787 41.29928);Planters Gusi, ctra. antiga de València, km 14;3;Viladecans;Baix Llobregat;2;Operativa;04/29/1993 12:00:00 AM
UC;Monells;4.197.726;299.705;POINT (2.99705 41.97726);Finca Camps i Armet - Escola Capacitació Agrària;60;Cruïlles, Monells i Sant Sadurní de l'Heura;Baix Empordà;2;Operativa;03/04/1998 0:00
UB;la Tallada d'Empordà;4.205.398;306.195;POINT (3.06195 42.05398);Findació Mas Badia - Canet de la Tallada;15;La Tallada d'Empordà;Baix Empordà;2;Operativa;05/01/1989 0:00
DO;Castell d'Aro;4.180.857;303.241;POINT (3.03241 41.80857);Parc de Bombers;14;Castell-Platja d'Aro;Baix Empordà;2;Operativa;05/10/2001 0:00
UD;Serra de Daró;4.202.895;306.227;POINT (3.06227 42.02895);Camí de la Barceloneta - St. Iscle d'Empordà;12;Serra de Daró;Baix Empordà;1;Desmantellada;06/09/1999 0:00
DF;la Bisbal d'Empordà;4.197.751;303.543;POINT (3.03543 41.97751);Estació depuradora;28.6;La Bisbal d'Empordà;Baix Empordà;2;Operativa;03/25/1998 12:00:00 AM
UE;Torroella de Montgrí;4.202.306;315.719;POINT (3.15719 42.02306);la Feixa Gata;4;Torroella de Montgrí;Baix Empordà;2;Operativa;06/09/1999 0:00
U8;Punta del Fangar;4.078.653;0.74264;POINT (0.74264 40.78653);Punta del Fangar;0;Deltebre;Baix Ebre;1;Desmantellada;04/30/1992 12:00:00 AM
UA;l'Ametlla de Mar;409.091;0.76943;POINT (0.76943 40.9091);Caseta d'en Butxaca;93;L'Ametlla de Mar;Baix Ebre;2;Operativa;08/29/1995 12:00:00 AM
U9;l'Aldea;4.076.947;0.61635;POINT (0.61635 40.76947);Barranc del Mas Roig;62;L'Aldea;Baix Ebre;2;Operativa;06/03/1991 0:00
DB;el Perelló;4.087.287;0.71581;POINT (0.71581 40.87287);Dipòsit d'aigua;179;El Perelló;Baix Ebre;2;Operativa;02/05/1998 0:00
X5;PN dels Ports;4.079.705;0.31822;POINT (0.31822 40.79705);Montpublic 21 sector Cova Avellanes;1055;Roquetes;Baix Ebre;2;Operativa;01/04/2007 0:00
U7;Aldover;4.085.936;0.50525;POINT (0.50525 40.85936);Granges de Fabra;52;Aldover;Baix Ebre;2;Operativa;12/31/1994 12:00:00 AM
XR;Prades;4.131.481;0.98161;POINT (0.98161 41.31481);La Comanda;928;Prades;Baix Camp;2;Operativa;01/31/2013 12:00:00 AM
YF;Mont-roig del Camp;4.102.001;0.93474;POINT (0.93474 41.02001);Plana dels Penyals;42;Mont-roig del Camp;Baix Camp;2;Operativa;12/20/2017 12:00:00 AM
YL;Riudecanyes;411.227;0.96951;POINT (0.96951 41.1227);els Gorgs;170;Riudecanyes;Baix Camp;2;Operativa;02/06/2019 0:00
U5;Prades - los Hortals;4.131.349;0.99611;POINT (0.99611 41.31349);Finca los Hortals;969;Prades;Baix Camp;1;Desmantellada;12/12/1995 0:00
DE;Botarell;4.115.404;0.99772;POINT (0.99772 41.15404);Planta de compostatge;231;Botarell;Baix Camp;1;Desmantellada;01/16/1998 12:00:00 AM
U6;Vinyols i els Arcs;4.108.017;106.661;POINT (1.06661 41.08017);Casa Sant Josep - Escola la Salle;29;Vinyols i els Arcs;Baix Camp;2;Operativa;05/17/1989 12:00:00 AM
W6;Riudoms;4.113.738;10.187;POINT (1.0187 41.13738);Mas d'en Domènec;158;Riudoms;Baix Camp;1;Desmantellada;10/19/1999 12:00:00 AM
R1;el Pont de Vilomara;4.170.637;187.276;POINT (1.87276 41.70637);Planta de reciclatge de piles i fluorescents;210;El Pont de Vilomara i Rocafort;Bages;2;Operativa;03/02/2000 0:00
