,PM2.5,PM10,NO2,Pressió atmosfèrica,Temperatura,Velocitat del vent a 10 m (esc.),Alert
0,14.666666666666666,26.55555555555556,17.9,1017.7875000000004,2.7145833333333336,5.052083333333332,0
1,9.125,19.666666666666668,12.666666666666666,1023.345833333333,4.029166666666667,4.885416666666667,0
2,11.541666666666666,15.291666666666666,22.416666666666668,1022.6729166666668,3.5625,2.63125,0
3,7.458333333333333,13.333333333333334,20.8,1020.0437499999998,7.9958333333333345,3.59375,0
4,5.041666666666667,17.541666666666668,13.521739130434783,1016.0041666666666,8.281250000000002,5.885416666666664,0
5,13.75,24.83333333333333,13.625,1021.7354166666668,4.39375,5.691666666666667,1
6,25.70833333333333,36.875,21.416666666666668,1024.8312500000004,5.595833333333334,4.416666666666667,1
7,26.08333333333333,38.75,15.217391304347826,1019.0,7.377083333333334,4.70625,0
8,14.583333333333334,26.166666666666668,14.478260869565217,1017.9333333333332,4.7625,4.560416666666667,0
9,11.666666666666666,20.125,14.083333333333334,1019.8291666666664,3.9083333333333328,4.579166666666667,0
10,9.583333333333334,20.166666666666668,23.08333333333333,1021.2666666666668,5.091666666666666,3.333333333333334,1
11,12.416666666666666,20.58333333333333,31.91304347826087,1017.46875,7.197916666666668,2.3416666666666663,0
12,7.333333333333333,16.333333333333332,11.565217391304348,1021.5083333333332,9.497916666666669,4.633333333333335,1
13,8.125,18.08333333333333,22.58333333333333,1019.9916666666664,10.941666666666665,3.1958333333333333,1
14,14.333333333333334,24.291666666666668,33.041666666666664,1023.5541666666668,8.662500000000001,1.6958333333333335,1
15,24.45833333333333,32.625,33.25,1020.9854166666668,7.885416666666669,1.6229166666666668,1
16,24.791666666666668,35.916666666666664,31.82608695652174,1020.8041666666668,8.702083333333334,2.152083333333333,0
17,8.125,22.95833333333333,22.125,1023.8791666666666,9.7,3.077083333333333,1
18,11.375,25.33333333333333,31.0,1027.0166666666669,8.141666666666666,2.0916666666666672,1
19,23.0,47.208333333333336,57.625,1025.6562499999995,8.660416666666668,1.3104166666666666,1
20,21.666666666666668,45.333333333333336,57.78260869565217,1025.939583333333,9.179166666666667,1.385416666666667,1
21,19.08333333333333,39.16666666666666,54.083333333333336,1026.1291666666664,9.80625,1.3104166666666666,1
22,23.58333333333333,34.875,41.958333333333336,1021.51875,10.1,1.25,1
23,18.875,35.791666666666664,20.916666666666668,1016.2729166666664,14.77083333333333,2.7687500000000007,1
24,15.083333333333334,27.0,26.95652173913044,1022.3749999999995,11.88125,1.9645833333333336,1
25,18.83333333333333,27.625,32.208333333333336,1023.2604166666666,10.631250000000003,1.4499999999999995,1
26,30.70833333333333,38.833333333333336,37.0,1021.9875,9.708333333333334,1.3291666666666664,1
27,31.83333333333333,40.66666666666666,34.583333333333336,1023.1500000000002,10.039583333333333,1.2270833333333329,1
28,26.0,31.95833333333333,21.782608695652176,1025.6645833333334,11.645833333333334,1.647916666666667,1
29,30.666666666666668,37.41666666666666,25.625,1024.7937499999998,12.316666666666665,1.3687499999999997,1
30,16.458333333333332,27.416666666666668,16.666666666666668,1021.0833333333331,14.102083333333333,3.1333333333333333,0
31,5.916666666666667,29.916666666666668,5.875,1022.4854166666668,12.510416666666666,6.272916666666668,0
32,4.916666666666667,17.875,13.217391304347826,1021.2708333333331,11.545833333333334,4.393749999999999,0
33,8.458333333333334,20.416666666666668,27.916666666666668,1025.28125,11.24583333333333,2.1541666666666672,0
34,9.916666666666666,28.625,38.1,1022.2875,11.733333333333334,2.4708333333333337,1
35,12.333333333333334,27.791666666666668,38.375,1029.2395833333337,10.310416666666663,1.93125,1
36,16.416666666666668,31.75,30.043478260869566,1029.0499999999995,11.545833333333327,2.4791666666666665,1
37,16.208333333333332,30.83333333333333,27.291666666666668,1023.4708333333332,12.460416666666667,1.933333333333333,1
38,16.041666666666668,29.625,34.041666666666664,1023.7250000000004,11.55208333333333,1.3166666666666669,1
39,25.58333333333333,42.0,51.16666666666666,1023.6916666666668,11.845833333333331,1.1854166666666666,1
40,30.5,42.0,55.08695652173913,1025.2687500000002,11.381249999999996,1.15,0
41,18.428571428571427,35.92857142857143,47.79166666666666,1025.4958333333336,11.772916666666667,1.7145833333333331,1
42,21.75,29.95833333333333,31.041666666666668,1021.775,11.558333333333332,1.5270833333333338,1
43,16.208333333333332,32.375,13.043478260869565,1020.6708333333336,14.727083333333336,3.1625,0
44,4.947368421052632,12.791666666666666,11.545454545454543,1027.3479166666666,12.06875,2.8145833333333337,0
45,7.375,15.75,23.625,1026.9749999999997,10.98958333333333,3.431249999999999,0
46,13.541666666666666,17.375,19.08333333333333,1021.5104166666666,12.183333333333335,3.7479166666666655,0
47,10.6,14.533333333333331,31.625,1022.1395833333332,12.94791666666667,1.9145833333333333,1
48,37.0,46.66666666666666,34.69565217391305,1023.09375,11.033333333333331,1.6020833333333335,1
49,22.35,29.4,27.8,1023.0395833333332,11.989583333333334,1.2895833333333335,1
50,17.5,26.818181818181817,26.13636363636364,1023.8125,12.868750000000004,1.354166666666667,1
51,21.782608695652176,36.04347826086956,33.73913043478261,1025.064583333333,12.666666666666664,1.6375,1
52,26.1,39.0,41.458333333333336,1025.7750000000003,14.087499999999997,1.6416666666666664,1
53,51.0,61.333333333333336,51.95652173913044,1023.9812500000002,14.722916666666665,1.710416666666666,1
54,32.041666666666664,39.208333333333336,33.041666666666664,1019.5458333333336,13.656250000000004,1.3666666666666665,1
55,20.875,35.875,43.583333333333336,1012.6895833333336,17.018749999999994,2.308333333333333,1
