,data,CO max,H2S max,NO max,NO2 max,NOx max,PM1 max,PM10 max,PM2.5 max,SO2 max,CO,H2S,NO,NO2,NOx,PM1,PM10,PM2.5,SO2
0,2010-01-01,0.2,1.4,1.0,7.0,,,,,1.0,0.20000000000000007,1.1083333333333334,1.0,2.625,,,,,1.0
1,2010-01-02,0.2,1.8,13.0,44.0,,,,,1.0,0.20000000000000007,1.1375,2.25,12.916666666666666,,,,,1.0
2,2010-01-03,0.3,1.6,17.0,48.0,,,,,7.0,0.20416666666666675,1.1583333333333334,3.625,22.166666666666668,,,,,1.875
3,2010-01-04,0.2,2.0,26.0,42.0,,,,,4.0,0.20000000000000007,1.382608695652174,8.217391304347826,28.304347826086957,,,,,1.6521739130434783
4,2010-01-05,0.4,1.4,23.0,44.0,,,,,2.0,0.22083333333333344,1.0374999999999999,5.75,24.958333333333332,,,,,1.0833333333333333
5,2010-01-06,0.2,2.2,5.0,32.0,,,,,1.0,0.20000000000000007,1.1125,1.375,8.458333333333334,,,,,1.0
6,2010-01-07,0.3,7.8,9.0,38.0,,,,,1.0,0.20416666666666672,1.7875000000000005,3.125,19.75,,,,,1.0
7,2010-01-08,0.2,1.2,2.0,11.0,,,,,1.0,0.20000000000000004,1.0375,1.0625,7.625,,,,,1.0
8,2010-01-09,0.2,1.3,1.0,6.0,,,,,1.0,0.20000000000000004,1.1470588235294115,1.0,4.117647058823529,,,,,1.0
9,2010-01-10,0.2,2.4,7.0,42.0,,,,,1.0,0.20000000000000007,1.6708333333333336,1.7916666666666667,10.333333333333334,,,,,1.0
10,2010-01-11,0.2,2.9,23.0,57.0,,,,,11.0,0.20000000000000007,1.8041666666666665,4.5,24.25,,,,,3.1666666666666665
11,2010-01-12,0.2,3.6,51.0,61.0,,,,,13.0,0.20000000000000004,2.380952380952381,13.142857142857142,31.428571428571427,,,,,3.1904761904761907
12,2010-01-13,0.2,3.6,46.0,69.0,,,,,1.0,0.20000000000000007,1.5,5.304347826086956,17.565217391304348,,,,,1.0
13,2010-01-14,0.3,4.6,114.0,66.0,,,,,1.0,0.20555555555555563,1.7736842105263155,16.88888888888889,25.77777777777778,,,,,1.0
14,2010-01-15,0.2,2.7,16.0,55.0,,,,,1.0,0.20000000000000007,1.3416666666666668,2.7083333333333335,14.291666666666666,,,,,1.0
15,2010-01-16,0.2,2.8,27.0,54.0,,,,,11.0,0.20000000000000007,2.0041666666666664,7.041666666666667,31.041666666666668,,,,,1.625
16,2010-01-17,0.2,2.4,32.0,46.0,,,,,3.0,0.20000000000000004,1.723809523809524,11.047619047619047,32.80952380952381,,,,,1.2380952380952381
17,2010-01-18,0.2,3.1,47.0,45.0,,,,,5.0,0.20000000000000007,1.7124999999999997,11.75,28.416666666666668,,,,,1.4166666666666667
18,2010-01-19,0.2,2.0,22.0,51.0,,,,,1.0,0.20000000000000004,1.2333333333333334,7.523809523809524,31.80952380952381,,,,,1.0
19,2010-01-20,0.2,3.7,86.0,42.0,,,,,4.0,0.20000000000000007,1.4875,12.625,16.666666666666668,,,,,1.3333333333333333
20,2010-01-21,0.2,4.5,82.0,65.0,,,,,13.0,0.20000000000000007,1.5625,13.208333333333334,27.041666666666668,,,,,2.2083333333333335
21,2010-01-22,0.2,2.7,36.0,79.0,,,,,20.0,0.20000000000000007,1.8043478260869568,11.826086956521738,38.95652173913044,,,,,6.0
22,2010-01-23,0.2,2.2,16.0,58.0,,,,,3.0,0.20000000000000007,1.4583333333333337,5.333333333333333,27.625,,,,,1.1666666666666667
23,2010-01-24,0.2,2.2,16.0,46.0,,,,,7.0,0.20000000000000007,1.5083333333333335,3.0,22.375,,,,,1.5833333333333333
24,2010-01-25,0.2,3.0,10.0,40.0,,,,,1.0,0.20000000000000007,1.583333333333333,2.7916666666666665,19.791666666666668,,,,,1.0
25,2010-01-26,0.2,2.2,18.0,39.0,,,,,11.0,0.20000000000000007,1.5541666666666665,5.791666666666667,21.916666666666668,,,,,1.4583333333333333
26,2010-01-27,0.2,3.4,31.0,49.0,,,,,6.0,0.20000000000000004,2.0380952380952384,8.952380952380953,24.761904761904763,,,,,2.0952380952380953
27,2010-01-28,0.2,2.2,20.0,31.0,,,,,1.0,0.20000000000000007,1.3416666666666666,2.0416666666666665,11.333333333333334,,,,,1.0
28,2010-01-29,0.2,2.9,59.0,49.0,,,,,6.0,0.20000000000000007,1.3208333333333335,9.333333333333334,18.75,,,,,1.75
29,2010-01-30,0.2,1.5,2.0,8.0,,,,,1.0,0.20000000000000007,1.0375,1.0416666666666667,3.7916666666666665,,,,,1.0
30,2010-01-31,0.2,1.6,4.0,22.0,,,,,13.0,0.2,1.2642857142857142,1.4285714285714286,9.5,,,,,2.2142857142857144
31,2010-02-01,0.2,2.8,42.0,46.0,,,,,7.0,0.20000000000000007,1.3875000000000002,5.916666666666667,18.875,,,,,1.4583333333333333
32,2010-02-02,0.2,2.5,33.0,49.0,,,,,9.0,0.20000000000000007,1.6791666666666665,6.375,23.458333333333332,,,,,1.5833333333333333
33,2010-02-03,0.2,2.2,16.0,40.0,,,,,3.0,0.19999999999999998,1.583333333333333,3.0,20.166666666666668,,,,,1.25
34,2010-02-04,,2.2,77.0,87.0,,,,,3.0,,1.6375000000000002,33.0,74.875,,,,,1.5
35,2010-02-05,,2.0,21.0,56.0,,,,,4.0,,1.0818181818181818,2.7083333333333335,21.666666666666668,,,,,1.1363636363636365
36,2010-02-06,,1.1,1.0,22.0,,,,,2.0,,1.0041666666666667,1.0,8.791666666666666,,,,,1.0416666666666667
