,data_lectura,Pressió atmosfèrica màxima,Pressió atmosfèrica mínima,Humitat relativa màxima,Velocitat del vent a 10 m (esc.),Direcció de vent 10 m (m. 1),Temperatura,Humitat relativa,Pressió atmosfèrica,Precipitació,Irradiància solar global,Temperatura màxima,Temperatura mínima,Humitat relativa mínima,Ratxa màxima del vent a 10 m,Direcció de la ratxa màxima del vent a 10 m,Precipitació màxima en 1 minut
1500,2014-02-09,1008.1312499999999,1007.3145833333336,57.958333333333336,2.7562499999999996,181.25,10.656250000000002,56.75,1007.735416666667,0.3458333333333334,62.583333333333336,10.887500000000001,10.429166666666669,55.541666666666664,6.141666666666666,187.02083333333334,0.043750000000000004
1501,2014-02-10,998.9625000000001,998.0437499999998,68.625,6.512499999999999,274.7916666666667,10.200000000000001,67.52083333333333,998.5270833333334,0.010416666666666666,66.9375,10.375,10.029166666666667,66.625,12.293749999999998,247.54166666666666,0.008333333333333333
1502,2014-02-11,1012.3854166666662,1011.8729166666668,53.208333333333336,4.208333333333334,286.375,9.366666666666667,51.520833333333336,1012.1333333333332,0.0,87.25,9.66875,9.0375,50.125,9.075,277.9375,0.0
1503,2014-02-12,1015.3520833333331,1014.9520833333332,64.91666666666667,2.7291666666666674,208.625,10.304166666666665,62.854166666666664,1015.1479166666668,0.0,162.25,10.75625,9.839583333333334,60.6875,5.647916666666668,203.27083333333334,0.0
1504,2014-02-13,1013.1541666666666,1012.6958333333336,64.79166666666667,2.5020833333333328,214.5625,13.87708333333333,62.395833333333336,1012.933333333333,0.0,163.08333333333334,14.441666666666668,13.310416666666667,60.083333333333336,5.26875,201.3125,0.0
1505,2014-02-14,1011.6604166666665,1011.3333333333336,83.41666666666667,1.3875000000000002,119.625,12.941666666666668,81.58333333333333,1011.4999999999999,0.0,158.52083333333334,13.445833333333333,12.487499999999997,79.66666666666667,2.9041666666666655,135.6875,0.0
1506,2014-02-15,1009.275,1008.9541666666664,82.16666666666667,1.3604166666666668,181.04166666666666,12.595833333333333,79.25,1009.1125000000002,0.0,144.22916666666666,13.231250000000003,11.966666666666667,76.64583333333333,3.0041666666666664,213.85416666666666,0.0
1507,2014-02-16,1015.1895833333334,1014.6604166666667,81.3125,1.4583333333333328,157.35416666666666,9.960416666666667,79.45833333333333,1014.9395833333333,0.04791666666666666,33.8125,10.264583333333336,9.672916666666671,77.54166666666667,3.214583333333334,181.25,0.02708333333333333
1508,2014-02-17,1014.7958333333335,1014.5562500000001,80.79166666666667,1.510416666666667,90.83333333333333,8.689583333333331,79.22916666666667,1014.6729166666664,0.0020833333333333333,160.125,9.022916666666665,8.372916666666663,77.45833333333333,2.977083333333333,116.64583333333333,0.0020833333333333333
1509,2014-02-18,1011.0854166666668,1010.7187500000001,60.5625,2.002083333333333,139.08333333333334,11.327083333333334,58.666666666666664,1010.9125,0.0,68.1875,11.643749999999999,11.033333333333331,57.020833333333336,4.070833333333333,165.8125,0.0
1510,2014-02-19,1016.2583333333333,1015.933333333333,56.104166666666664,4.0062500000000005,260.0,13.304166666666667,54.291666666666664,1016.1125000000001,0.0,157.25,13.608333333333334,12.985416666666667,52.8125,7.691666666666669,261.9791666666667,0.0
1511,2014-02-20,1016.0541666666663,1015.7708333333335,70.60416666666667,2.016666666666666,178.20833333333334,11.441666666666668,68.16666666666667,1015.9104166666667,0.0,155.60416666666666,11.997916666666667,10.908333333333333,65.6875,4.152083333333333,213.375,0.0
1512,2014-02-21,1015.5374999999996,1015.2083333333331,51.0,3.8520833333333333,268.9791666666667,13.281249999999998,49.020833333333336,1015.3874999999999,0.0,96.58333333333333,13.727083333333333,12.827083333333334,47.166666666666664,7.577083333333334,279.7916666666667,0.0
1513,2014-02-22,1021.208333333333,1020.9374999999999,59.708333333333336,1.7291666666666667,209.625,9.477083333333335,56.958333333333336,1021.0770833333331,0.0,191.75,10.1,8.93125,54.5,3.5625000000000004,183.95833333333334,0.0
1514,2014-02-23,1020.5541666666667,1020.310416666667,74.97916666666667,1.45,148.79166666666666,9.835416666666669,72.5,1020.4291666666669,0.0,192.02083333333334,10.331249999999999,9.391666666666666,69.89583333333333,2.8645833333333335,127.5625,0.0
1515,2014-02-24,1017.4416666666666,1017.2104166666671,82.45833333333333,1.4354166666666666,119.95833333333333,10.510416666666666,80.8125,1017.3270833333331,0.0,187.4375,10.897916666666667,10.133333333333331,78.97916666666667,2.6979166666666665,104.875,0.0
1516,2014-02-25,1016.8604166666668,1016.5541666666667,81.8125,1.8500000000000003,196.64583333333334,11.197916666666666,79.5625,1016.6979166666666,0.0,142.39583333333334,11.583333333333337,10.779166666666669,77.4375,3.947916666666666,189.47916666666666,0.0
1517,2014-02-26,1021.2791666666667,1020.8229166666665,50.645833333333336,3.852083333333334,263.9583333333333,11.643749999999999,48.875,1021.0604166666668,0.0,155.79166666666666,12.02708333333333,11.279166666666667,47.083333333333336,7.633333333333333,275.9166666666667,0.0
1518,2014-02-27,1024.3416666666667,1024.04375,64.79166666666667,2.162499999999999,201.6875,8.897916666666665,62.6875,1024.1979166666667,0.0,102.8125,9.387500000000001,8.466666666666667,60.625,4.495833333333333,184.27083333333334,0.0
1519,2014-02-28,1013.2687499999998,1012.6270833333334,58.8125,5.200000000000002,229.3125,10.975,56.3125,1012.9520833333332,0.0,149.125,11.464583333333335,10.435416666666663,54.25,9.947916666666668,264.1875,0.0
1520,2014-03-01,1004.8166666666662,1004.3833333333331,56.0625,4.635416666666667,249.3125,11.264583333333333,55.020833333333336,1004.6062500000002,0.0,103.29166666666667,11.535416666666668,11.047916666666666,53.854166666666664,8.712500000000002,262.5208333333333,0.0
1521,2014-03-02,1002.4375,1002.1104166666668,79.875,1.7791666666666668,158.08333333333334,11.293750000000001,77.97916666666667,1002.2812499999999,0.0,187.0625,11.725,10.881250000000001,76.125,3.733333333333334,158.79166666666666,0.0
1522,2014-03-03,1000.90625,1000.09375,50.333333333333336,6.606249999999999,262.75,13.510416666666666,47.9375,1000.5125000000002,0.014583333333333332,218.35416666666666,14.008333333333338,13.079166666666667,45.395833333333336,12.985416666666664,282.2708333333333,0.0020833333333333333
1523,2014-03-04,1006.81875,1006.2729166666667,49.333333333333336,6.418749999999999,293.625,12.633333333333335,48.104166666666664,1006.5791666666668,0.0,208.70833333333334,12.925000000000002,12.383333333333335,46.9375,12.052083333333336,290.8125,0.0
1524,2014-03-05,1013.3541666666666,1012.9562500000001,70.22916666666667,2.283333333333333,185.02083333333334,12.779166666666669,68.3125,1013.1458333333329,0.0,183.875,13.235416666666664,12.34375,66.41666666666667,4.683333333333333,178.83333333333334,0.0
1525,2014-03-06,1021.1479166666667,1020.9041666666668,75.8125,1.7770833333333336,160.14583333333334,10.960416666666667,73.47916666666667,1021.0333333333332,0.0,210.54166666666666,11.472916666666668,10.424999999999999,71.14583333333333,3.5729166666666665,154.60416666666666,0.0
1526,2014-03-07,1024.0666666666668,1023.8729166666666,68.97916666666667,1.6583333333333334,159.08333333333334,11.035416666666665,66.77083333333333,1023.9562500000003,0.0,224.04166666666666,11.454166666666664,10.612499999999999,64.54166666666667,3.5479166666666675,133.1875,0.0
1527,2014-03-08,1024.66875,1024.4062499999998,74.52083333333333,1.5020833333333332,145.0625,10.962499999999997,72.29166666666667,1024.5333333333335,0.0,226.6875,11.483333333333333,10.5375,69.75,2.829166666666666,129.27083333333334,0.0
